,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40
Sample 1,0.01,0.036,0.098,0.206,0.372,0.594,0.804,1.05,1.3,1.598,1.908,2.21,2.5,2.748,2.998,3.212,3.376,3.492,3.572,3.64,3.678,3.712,3.746,3.786,3.81,3.832,3.86,3.89,3.914,3.938,3.964,3.996,4.014,4.036,4.054,4.084,4.11,4.13,4.148,4.174
Sample 2,0.01,0.05,0.16,0.31,0.498,0.694,0.912,1.162,1.414,1.694,1.97,2.246,2.494,2.702,2.9,3.068,3.194,3.282,3.344,3.398,3.434,3.462,3.484,3.51,3.536,3.554,3.572,3.59,3.622,3.636,3.648,3.666,3.688,3.702,3.716,3.734,3.758,3.768,3.778,3.792
Sample 3,0.01,0.032,0.114,0.274,0.48,0.706,0.954,1.238,1.542,1.872,2.196,2.51,2.814,3.064,3.302,3.5,3.67,3.786,3.864,3.92,3.976,4.018,4.046,4.074,4.104,4.134,4.15,4.172,4.196,4.228,4.244,4.26,4.278,4.304,4.322,4.338,4.356,4.382,4.398,4.412
Sample 4,0.01,0.026,0.106,0.246,0.432,0.644,0.866,1.116,1.378,1.674,1.978,2.27,2.544,2.78,3.014,3.204,3.348,3.456,3.536,3.598,3.64,3.674,3.708,3.742,3.766,3.788,3.814,3.844,3.866,3.888,3.912,3.944,3.958,3.976,4,4.03,4.046,4.062,4.08,4.106
Sample 5,0.01,0.054,0.148,0.286,0.464,0.668,0.88,1.112,1.348,1.63,1.9,2.164,2.408,2.616,2.81,2.956,3.07,3.162,3.22,3.262,3.296,3.332,3.358,3.38,3.4,3.424,3.448,3.468,3.486,3.506,3.536,3.55,3.566,3.58,3.608,3.622,3.638,3.656,3.676,3.692
Sample 6,0.01,0.026,0.096,0.254,0.466,0.692,0.932,1.212,1.498,1.82,2.146,2.458,2.756,3.014,3.276,3.484,3.648,3.774,3.864,3.93,3.98,4.022,4.066,4.098,4.128,4.154,4.19,4.222,4.246,4.272,4.308,4.334,4.354,4.376,4.408,4.44,4.46,4.482,4.504,4.534
Sample 7,0.01,0.024,0.08,0.228,0.418,0.656,0.904,1.18,1.486,1.84,2.182,2.518,2.842,3.152,3.43,3.668,3.864,4.026,4.128,4.206,4.262,4.318,4.358,4.388,4.416,4.446,4.48,4.504,4.53,4.556,4.588,4.606,4.622,4.642,4.676,4.696,4.71,4.728,4.756,4.774
Sample 8,0.01,0.024,0.052,0.126,0.292,0.496,0.706,0.944,1.196,1.504,1.808,2.11,2.408,2.672,2.92,3.138,3.312,3.45,3.53,3.592,3.638,3.684,3.714,3.742,3.768,3.802,3.826,3.848,3.872,3.906,3.934,3.958,3.976,4.002,4.032,4.054,4.076,4.098,4.132,4.15
Sample 9,0.01,0.024,0.098,0.228,0.378,0.574,0.748,0.938,1.132,1.362,1.592,1.806,2.002,2.166,2.322,2.442,2.536,2.61,2.66,2.698,2.728,2.756,2.782,2.808,2.826,2.842,2.868,2.886,2.902,2.916,2.938,2.954,2.966,2.982,3.002,3.02,3.03,3.042,3.056,3.076
Sample 10,0.01,0.022,0.054,0.158,0.32,0.512,0.702,0.924,1.148,1.412,1.676,1.932,2.178,2.378,2.566,2.73,2.87,2.97,3.042,3.098,3.152,3.19,3.22,3.246,3.274,3.3,3.318,3.334,3.356,3.382,3.398,3.41,3.426,3.448,3.458,3.47,3.484,3.504,3.516,3.524
Sample 11,0.01,0.022,0.066,0.176,0.348,0.562,0.754,0.976,1.214,1.49,1.764,2.032,2.296,2.518,2.726,2.9,3.042,3.148,3.212,3.262,3.302,3.344,3.372,3.398,3.424,3.454,3.48,3.5,3.524,3.556,3.584,3.604,3.624,3.648,3.678,3.698,3.72,3.746,3.774,3.794
Sample 12,0.01,0.022,0.05,0.17,0.35,0.576,0.782,1.024,1.28,1.588,1.89,2.184,2.464,2.712,2.95,3.15,3.306,3.436,3.52,3.582,3.626,3.67,3.708,3.732,3.758,3.782,3.816,3.834,3.86,3.884,3.916,3.932,3.952,3.97,4,4.024,4.044,4.062,4.084,4.11
Sample 13,0.01,0.042,0.13,0.264,0.422,0.608,0.786,0.978,1.174,1.398,1.62,1.826,2.018,2.176,2.324,2.428,2.508,2.568,2.614,2.648,2.676,2.706,2.734,2.76,2.78,2.8,2.828,2.844,2.866,2.882,2.904,2.92,2.934,2.946,2.96,2.974,2.978,2.986,2.996,3.016
Sample 14,0.01,0.036,0.138,0.294,0.486,0.678,0.898,1.144,1.386,1.648,1.91,2.15,2.366,2.55,2.726,2.876,2.99,3.084,3.158,3.226,3.278,3.318,3.35,3.39,3.416,3.436,3.458,3.488,3.508,3.524,3.54,3.566,3.58,3.592,3.608,3.632,3.646,3.656,3.668,3.684
Sample 15,0.01,0.02,0.044,0.124,0.268,0.424,0.606,0.776,0.948,1.148,1.36,1.574,1.77,1.934,2.084,2.214,2.306,2.37,2.414,2.452,2.484,2.506,2.526,2.546,2.572,2.59,2.608,2.624,2.652,2.672,2.688,2.71,2.732,2.75,2.768,2.788,2.816,2.832,2.85,2.87
